terminal,area
동서울,서울
상봉,서울
서울경부,서울
센트럴시티(서울),서울
고양백석,인천/경기
고양화정,인천/경기
광명(KTX역),인천/경기
광명(철산역),인천/경기
구리,인천/경기
부천,인천/경기
서수원,인천/경기
성남(분당),인천/경기
수원,인천/경기
시흥(시화),인천/경기
신갈시외,인천/경기
신갈영덕,인천/경기
안산,인천/경기
안성,인천/경기
안성공도,인천/경기
안성대림,인천/경기
안성중대,인천/경기
안성풍림,인천/경기
안성한경,인천/경기
안성회관,인천/경기
안중,인천/경기
안중오거리,인천/경기
여주,인천/경기
여주대,인천/경기
영통,인천/경기
오산,인천/경기
용인,인천/경기
용인신갈,인천/경기
용인유림,인천/경기
의정부,인천/경기
이천,인천/경기
이천(마장택지지구),인천/경기
이천부발(신하리),인천/경기
인천,인천/경기
인천공항T1,인천/경기
인천공항T2,인천/경기
죽전,인천/경기
평택,인천/경기
평택대,인천/경기
평택용이동,인천/경기
강릉,강원
동해,강원
삼척,강원
속초,강원
양양,강원
원주,강원
원주문막,강원
원주혁신,강원
춘천,강원
횡성(휴)상행,강원
횡성(휴)하행,강원
고대조치원,대전/충남
공주,대전/충남
금산,대전/충남
내포,대전/충남
논산,대전/충남
당진,대전/충남
당진기지시,대전/충남
대전도룡,대전/충남
대전복합,대전/충남
대전청사,대전/충남
덕산스파,대전/충남
배방정류소,대전/충남
서산,대전/충남
선문대,대전/충남
세종국무조정실,대전/충남
세종시청,대전/충남
세종연구단지,대전/충남
세종청사,대전/충남
세종터미널,대전/충남
아산둔포,대전/충남
아산서부(호서대),대전/충남
아산온양,대전/충남
아산탕정사무소,대전/충남
아산테크노밸리,대전/충남
안면도,대전/충남
연무대,대전/충남
예산,대전/충남
유성,대전/충남
인삼랜드(휴)상행,대전/충남
인삼랜드(휴)하행,대전/충남
정산,대전/충남
정안(휴)상행,대전/충남
정안(휴)하행,대전/충남
조치원,대전/충남
창기리,대전/충남
천안,대전/충남
천안3공단,대전/충남
천안아산역,대전/충남
청양,대전/충남
탕정삼성LCD,대전/충남
태안,대전/충남
홍대조치원,대전/충남
홍성,대전/충남
북청주,충북
제천,충북
제천하소,충북
중앙탑면,충북
청주(센트럴),충북
청주고속터미널,충북
청주공항,충북
충주,충북
황간,충북
강진,광주/전남
고흥,광주/전남
광양,광주/전남
광주(유스퀘어),광주/전남
구례,광주/전남
나주,광주/전남
남악,광주/전남
녹동,광주/전남
능주,광주/전남
담양,광주/전남
동광양,광주/전남
목표,광주/전남
무안,광주/전남
문장,광주/전남
벌교,광주/전남
보성,광주/전남
삼호,광주/전남
섬진강(휴)상행,광주/전남
섬진강(휴)하행,광주/전남
순천,광주/전남
순천신대지구,광주/전남
여수,광주/전남
여천,광주/전남
영광,광주/전남
영산포,광주/전남
영암,광주/전남
완도,광주/전남
장성,광주/전남
장흥,광주/전남
지도,광주/전남
진도,광주/전남
함평,광주/전남
해남,광주/전남
해제,광주/전남
화순,광주/전남
회진,광주/전남
고창,전북
군산,전북
김제,전북
남원,전북
덕과,전북
순창,전북
애통리,전북
익산,전북
익산팔봉,전북
자치인재원,전북
전북혁신,전북
전주,전북
전주호남제일문,전북
정읍,전북
태인,전북
김해,부산/경남
김해장유,부산/경남
마산,부산/경남
마산내서,부산/경남
밀양,부산/경남
부산,부산/경남
서부산(사상),부산/경남
양산,부산/경남
울산,부산/경남
울산신복,부산/경남
원동,부산/경남
진주,부산/경남
진주개양,부산/경남
진주혁신,부산/경남
진해,부산/경남
창원,부산/경남
창원역,부산/경남
통영,부산/경남
경북도청,대구/경북
경주,대구/경북
구미,대구/경북
김천,대구/경북
김천혁신,대구/경북
낙동강(휴)상행,대구/경북
낙동강(휴)하행,대구/경북
대구용계,대구/경북
대구혁신,대구/경북
동대구,대구/경북
상주,대구/경북
서대구,대구/경북
선산(휴)상행,대구/경북
선산(휴)하행,대구/경북
안동,대구/경북
영덕,대구/경북
영주,대구/경북
영천,대구/경북
영천망정동,대구/경북
예천,대구/경북
점촌,대구/경북
포항,대구/경북
포항시청,대구/경북
풍기,대구/경북
